,Unnamed: 0,Player,College,Conf,G,MP,MP_G,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,0,Trae Young,Oklahoma,Big 12,32,1133,35.4,8.2,19.3,4.5,9.1,3.7,10.3,7.4,8.6,0.4,3.5,3.9,8.7,1.7,0.3,5.2,1.8,27.4
1,1,Buddy Hield,Oklahoma,Big 12,37,1309,35.4,8.1,16.2,4.2,7.5,4,8.7,4.8,5.4,1.2,4.5,5.7,2,1.1,0.5,3.1,2.1,25
2,2,Georges Niang,Iowa State,Big 12,35,1162,33.2,8.1,14.8,6.5,10.7,1.6,4.1,2.7,3.4,1.3,4.9,6.2,3.3,0.9,0.6,2.6,3.2,20.5
3,3,Dedric Lawson,Kansas,Big 12,36,1175,32.6,6.9,14.1,5.9,11.6,1,2.5,4.6,5.7,3.1,7.2,10.3,1.7,1.3,1.1,2.3,2.6,19.4
4,4,Marial Shayok,Iowa State,Big 12,34,1118,32.9,6.7,13.6,4.6,8.2,2.1,5.4,3.2,3.6,1.4,3.5,4.9,2,0.9,0.2,2.7,2.1,18.7
5,5,Jawun Evans,Oklahoma State,Big 12,54,1571,29.1,5.7,12.7,4.7,10.2,1,2.5,4.2,5.1,0.6,3.2,3.8,5.8,1.5,0.1,2.7,2.4,16.6
6,6,Taurean Prince,Baylor,Big 12,34,1040,30.6,5.5,12.7,3.9,8.4,1.6,4.3,3.3,4.3,2.4,3.7,6.1,2.3,1.3,0.7,2.7,2.5,15.9
7,7,Josh Jackson,Kansas,Big 12,35,1077,30.8,6.3,12.3,5.3,9.7,1,2.6,2.8,4.9,2.3,5.1,7.4,3,1.7,1.1,2.8,3,16.3
8,8,Monte Morris,Iowa State,Big 12,70,2568,36.7,5.8,12.2,4.5,8.6,1.3,3.6,2.3,3,0.9,3.4,4.4,6.5,1.6,0.3,1.4,1.5,15.1
9,9,Makai Mason,Baylor,Big 12,28,899,32.1,4.8,12,2.6,6.1,2.1,5.9,3.2,3.9,0.4,2.1,2.5,3.4,0.5,0,2.5,1.9,14.9
10,10,Kendall Smith,Oklahoma State,Big 12,35,943,26.9,4.7,11.8,3.3,8.3,1.4,3.5,2.2,3.3,0.6,2.5,3.1,2.9,1,0,2.1,1.7,13.1
11,11,Perry Ellis,Kansas,Big 12,38,1150,30.3,6.2,11.7,5.5,10.1,0.7,1.7,3.7,4.7,1.8,4.1,5.8,1.3,0.5,0.5,1.5,1.7,16.9
12,12,Jarrett Culver,Texas Tech,Big 12,75,2212,29.5,5.3,11.6,3.9,7.5,1.4,4.1,2.9,4.2,1.2,4.4,5.6,2.8,1.3,0.6,2.1,2,14.9
