Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
609,2003,NBA,1,22,NJN,Zoran Planinic,20.292,G,ba,,2004,2006,148,10.7,3.8,1.3,1.1,0.4,0,0.405,0.447,0.289,0.677,1.5,0.046
915,2016,NBA,2,43,HOU,Zhou Qi,20.164,F-C,cn,,2018,2019,19,6.6,1.3,1.2,0.1,0.1,0.7,0.212,0.357,0.105,0.667,-0.2,-0.093
794,2018,NBA,1,16,PHO,Zhaire Smith,19.022,G,us,Texas Tech University,2019,2019,6,18.5,6.7,2.2,1.7,0.3,0.3,0.412,0.444,0.375,0.75,0.1,0.048
73,2003,NBA,2,42,ORL,Zaza Pachulia,19.141,C,ge,,2004,2019,1098,20.3,6.8,5.8,1.3,0.7,0.3,0.469,0.472,0,0.751,52.7,0.114
634,2003,NBA,1,17,PHO,Zarko Cabarkapa,22.041,F,rs,,2004,2006,150,10.3,4.3,2.1,0.6,0.2,0.2,0.427,0.457,0.273,0.733,1.1,0.035
24,2001,NBA,1,19,POR,Zach Randolph,19.351,F-C,us,Michigan State University,2002,2018,1116,31,16.6,9.1,1.8,0.7,0.3,0.471,0.481,0.273,0.764,81.1,0.112
420,2014,NBA,1,13,MIN,Zach LaVine,19.113,G,us,"University of California, Los Angeles",2015,2019,293,29.9,16.1,3.4,3.5,0.8,0.2,0.446,0.481,0.373,0.824,8,0.044
523,2017,NBA,1,10,SAC,Zach Collins,19.22,C-F,us,Gonzaga University,2018,2019,143,16.8,5.6,3.8,0.9,0.3,0.7,0.441,0.503,0.321,0.72,3.6,0.072
1024,2006,NBA,2,53,SEA,Yotam Halperin,22.161,G,il,,,,,,,,,,,,,,,,
543,2007,NBA,1,6,MIL,Yi Jianlian,19.249,F,cn,,2008,2012,272,22.2,7.9,4.9,0.7,0.5,0.7,0.404,0.413,0.333,0.78,3.1,0.025
861,2005,NBA,1,12,LAC,Yaroslav Korolev,18.057,F,ru,,2006,2007,34,4.9,1.1,0.5,0.4,0.2,0,0.283,0.294,0.25,0.625,-0.1,-0.024
40,2002,NBA,1,1,HOU,Yao Ming,21.292,C,cn,,2003,2011,486,32.5,19,9.2,1.6,0.4,1.9,0.524,0.525,0.2,0.833,65.9,0.2
1002,2003,NBA,2,57,DAL,Xue Yuyang,20.239,F-C,cn,,,,,,,,,,,,,,,,
1093,2014,NBA,2,59,TOR,Xavier Thames,23.164,G,us,San Diego State University,,,,,,,,,,,,,,,
671,2010,NBA,1,12,MEM,Xavier Henry,19.106,G,be,University of Kansas,2011,2015,185,15.7,5.7,1.9,0.6,0.5,0.1,0.406,0.419,0.325,0.635,0.8,0.013
178,2007,NBA,1,23,NYK,Wilson Chandler,20.054,F,us,DePaul University,2008,2019,641,30.5,12.9,5.3,1.8,0.7,0.6,0.444,0.496,0.343,0.768,28.3,0.069
424,2015,NBA,2,35,PHI,Willy Hernangomez,21.034,C,es,,2017,2019,178,14.8,7,5.6,1.1,0.4,0.4,0.53,0.543,0.364,0.696,7.8,0.142
752,2010,NBA,2,54,LAC,Willie Warren,20.25,G,us,University of Oklahoma,2011,2011,19,7.1,1.9,0.6,1.4,0.3,0,0.371,0.4,0.333,0.75,0.2,0.065
340,2003,NBA,2,41,SEA,Willie Green,21.338,G,us,University of Detroit Mercy,2004,2015,731,20.2,8.3,1.8,1.4,0.5,0.1,0.425,0.454,0.346,0.765,12.9,0.042
276,2015,NBA,1,6,SAC,Willie Cauley-Stein,21.316,F-C,us,University of Kentucky,2016,2019,295,24,10.1,6.4,1.6,0.9,0.8,0.534,0.536,0.222,0.611,17.4,0.118
799,2001,NBA,2,33,MEM,Will Solomon,22.348,G,us,Clemson University,2002,2009,115,13.8,5.1,1.1,2,0.5,0.1,0.378,0.439,0.298,0.692,0,0
863,2006,NBA,2,60,DET,Will Blalock,22.299,G,us,Iowa State University,2007,2007,14,11.9,1.8,1.1,1.2,0.4,0,0.3,0.32,0.2,1,-0.1,-0.032
287,2012,NBA,2,40,POR,Will Barton,21.179,G,us,University of Memphis,2013,2019,438,23.3,10.5,3.9,2.4,0.7,0.4,0.431,0.478,0.341,0.788,16.4,0.077
368,2010,NBA,1,4,MIN,Wesley Johnson,22.354,F-G,us,Syracuse University,2011,2019,609,22.1,7,3.2,1.1,0.8,0.7,0.404,0.46,0.337,0.741,10.7,0.038
568,2017,NBA,2,33,ORL,Wesley Iwundu,22.19,F,us,Kansas State University,2018,2019,130,17.3,4.4,2.5,1,0.5,0.3,0.419,0.458,0.304,0.787,2.5,0.054
591,2018,NBA,1,7,CHI,Wendell Carter,19.071,C,us,Duke University,2019,2019,44,25.2,10.3,7,1.8,0.6,1.3,0.485,0.513,0.188,0.795,1.9,0.08
653,2005,NBA,1,29,MIA,Wayne Simien,22.117,F,us,University of Kansas,2006,2007,51,9.9,3.3,1.9,0.2,0.3,0,0.469,0.469,,0.854,0.9,0.083
273,2009,NBA,1,28,MIN,Wayne Ellington,21.214,G,us,University of North Carolina,2010,2019,645,21.3,8.2,2.2,1.1,0.6,0.1,0.41,0.447,0.379,0.846,17.8,0.062
1114,2016,NBA,2,57,MEM,Wang Zhelin,22.16,C,cn,,,,,,,,,,,,,,,,
759,2014,NBA,2,43,ATL,Walter Tavares,22.101,C,cv,,2016,2017,13,7.8,2.5,2.5,0.3,0.1,0.9,0.625,0.625,,0.273,0.2,0.118
867,2008,NBA,2,32,SEA,Walter Sharpe,21.349,F,us,University of Alabama at Birmingham,2009,2009,8,2.5,1,0.4,0,0,0.3,0.364,0.444,0,0,-0.1,-0.131
925,2016,NBA,1,17,MEM,Wade Baldwin,20.091,G,us,Vanderbilt University,2017,2019,56,10.3,3.1,1.2,1.4,0.4,0.2,0.355,0.383,0.25,0.776,-0.3,-0.028
527,2005,NBA,2,39,LAL,Von Wafer,19.347,G,us,Florida State University,2006,2012,200,12.4,5.3,1.2,0.7,0.4,0.1,0.42,0.469,0.325,0.751,3.3,0.064
1117,2017,NBA,2,49,DEN,Vlatko Cancar,20.078,F,si,,,,,,,,,,,,,,,,
1023,2006,NBA,2,48,WAS,Vladimir Veremeenko,21.347,F,by,,,,,,,,,,,,,,,,
189,2001,NBA,1,12,SEA,Vladimir Radmanovic,20.225,F,ba,,2002,2013,737,21.9,8,3.8,1.4,0.7,0.4,0.415,0.451,0.378,0.758,26.5,0.079
644,2002,NBA,2,33,DEN,Vincent Yarbrough,21.102,G-F,us,University of Tennessee,2003,2003,59,23.4,6.9,2.7,2.2,1,0.6,0.393,0.42,0.269,0.79,1,0.035
855,2018,NBA,2,52,UTA,Vince Edwards,22.082,F,us,Purdue University,2019,2019,2,8,1.5,1,0,0,0,0.25,,0.25,,0,-0.014
1005,2004,NBA,2,42,ATL,Viktor Sanikidze,18.089,F,ge,,,,,,,,,,,,,,,,
585,2004,NBA,1,22,NJN,Viktor Khryapa,21.331,F,ua,,2005,2008,143,16.4,4.5,3.4,1,0.6,0.3,0.443,0.457,0.292,0.658,2,0.041
210,2013,NBA,1,2,ORL,Victor Oladipo,21.059,G,us,Indiana University,2014,2019,402,33.2,17.5,4.6,4,1.7,0.5,0.443,0.482,0.352,0.793,24.2,0.087
748,2009,NBA,1,22,POR,Victor Claver,20.304,F,es,,2013,2015,80,13.4,3.2,2.2,0.7,0.4,0.2,0.398,0.489,0.293,0.585,0.2,0.011
703,2011,NBA,2,52,DET,Vernon Macklin,24.282,F,us,University of Florida,2012,2012,23,5.9,2,1.5,0.2,0.2,0.2,0.543,0.543,,0.571,0.5,0.161
860,2004,NBA,2,50,DAL,Vassilis Spanoulis,21.327,G,gr,,2007,2007,31,8.8,2.7,0.7,0.9,0.2,0,0.319,0.419,0.172,0.81,-0.1,-0.01
1089,2014,NBA,2,52,PHI,Vasilije Micic,20.169,G,rs,,,,,,,,,,,,,,,,
776,2005,NBA,2,58,TOR,Uros Slokar,22.051,F,si,,2007,2007,20,3.6,1.9,0.7,0.1,0.1,0.1,0.538,0.542,0.5,0.692,0.1,0.042
413,2015,NBA,1,24,CLE,Tyus Jones,19.05,G,us,Duke University,2016,2019,247,17.7,5.1,1.5,3.3,1,0.1,0.419,0.464,0.333,0.819,8.4,0.092
12,2001,NBA,1,2,LAC,Tyson Chandler,18.273,C,us,,2002,2019,1134,27.7,8.4,9.2,0.8,0.6,1.2,0.596,0.597,0,0.645,101.5,0.155
955,2012,NBA,2,41,POR,Tyshawn Taylor,22.083,G,us,University of Kansas,2013,2014,61,8,2.9,0.5,0.9,0.4,0,0.354,0.353,0.36,0.684,-0.9,-0.088
336,2006,NBA,1,4,POR,Tyrus Thomas,19.32,F,us,Louisiana State University,2007,2015,402,19.7,7.7,4.8,0.9,0.8,1.3,0.438,0.44,0.235,0.732,13,0.078
708,2016,NBA,2,60,UTA,Tyrone Wallace,22.019,G,us,University of California,2018,2019,92,16.1,5.5,2.2,1.2,0.5,0.2,0.435,0.464,0.237,0.674,0.5,0.015
