,Unnamed: 0,Player,Season,Team,League,Age,VORP,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
0,0,Russell Westbrook,2016-17,OKC,NBA,28,12.4,81,81,34.6,10.2,24.0,7.7,16.8,2.5,7.2,8.8,10.4,1.7,9.0,10.7,10.4,1.6,0.4,5.4,2.3,31.6,0.425,0.45899999999999996,0.34299999999999997,0.47600000000000003,0.845,0.5539999999999999
1,1,LeBron James,2008-09,CLE,NBA,24,11.6,81,81,37.7,9.7,19.9,8.1,15.2,1.6,4.7,7.3,9.4,1.3,6.3,7.6,7.2,1.7,1.1,3.0,1.7,28.4,0.489,0.535,0.344,0.53,0.78,0.591
2,2,LeBron James,2009-10,CLE,NBA,25,10.9,76,76,39.0,10.1,20.1,8.4,15.0,1.7,5.1,7.8,10.2,0.9,6.4,7.3,8.6,1.6,1.0,3.4,1.6,29.7,0.503,0.56,0.33299999999999996,0.545,0.767,0.604
3,3,LeBron James,2007-08,CLE,NBA,23,10.1,75,74,40.4,10.6,21.9,9.1,17.1,1.5,4.8,7.3,10.3,1.8,6.1,7.9,7.2,1.8,1.1,3.4,2.2,30.0,0.484,0.531,0.315,0.518,0.7120000000000001,0.568
4,4,Chris Paul,2008-09,NOH,NBA,23,10.0,78,78,38.5,8.1,16.1,7.3,13.8,0.8,2.3,5.8,6.7,0.9,4.7,5.5,11.0,2.8,0.1,3.0,2.7,22.8,0.503,0.525,0.364,0.528,0.868,0.599
5,5,James Harden,2018-19,HOU,NBA,29,9.9,78,78,36.8,10.8,24.5,6.0,11.3,4.8,13.2,9.7,11.0,0.8,5.8,6.6,7.5,2.0,0.7,5.0,3.1,36.1,0.442,0.528,0.368,0.541,0.879,0.616
6,6,Stephen Curry,2015-16,GSW,NBA,27,9.8,79,79,34.2,10.2,20.2,5.1,9.0,5.1,11.2,4.6,5.1,0.9,4.6,5.4,6.7,2.1,0.2,3.3,2.0,30.1,0.504,0.5660000000000001,0.45399999999999996,0.63,0.9079999999999999,0.669
7,7,Kevin Garnett,2003-04,MIN,NBA,27,9.8,82,82,39.4,9.8,19.6,9.7,19.1,0.1,0.5,4.5,5.7,3.0,10.9,13.9,5.0,1.5,2.2,2.6,2.5,24.2,0.499,0.506,0.256,0.502,0.7909999999999999,0.547
8,8,LeBron James,2012-13,MIA,NBA,28,9.8,76,76,37.9,10.1,17.8,8.7,14.5,1.4,3.3,5.3,7.0,1.3,6.8,8.0,7.3,1.7,0.9,3.0,1.4,26.8,0.565,0.602,0.406,0.603,0.753,0.64
9,9,Dwyane Wade,2008-09,MIA,NBA,27,9.7,79,79,38.6,10.8,22.0,9.7,18.5,1.1,3.5,7.5,9.8,1.1,3.9,5.0,7.5,2.2,1.3,3.4,2.3,30.2,0.491,0.524,0.317,0.516,0.765,0.574
10,10,LeBron James,2005-06,CLE,NBA,21,9.5,79,79,42.5,11.1,23.1,9.5,18.3,1.6,4.8,7.6,10.3,0.9,6.1,7.0,6.6,1.6,0.8,3.3,2.3,31.4,0.48,0.518,0.335,0.515,0.738,0.568
11,11,Kevin Garnett,2004-05,MIN,NBA,28,9.3,82,82,38.1,8.3,16.6,8.3,16.3,0.1,0.3,5.4,6.7,3.0,10.5,13.5,5.7,1.5,1.4,2.7,2.5,22.2,0.502,0.507,0.24,0.504,0.8109999999999999,0.5670000000000001
12,12,Kevin Garnett,2002-03,MIN,NBA,26,9.0,82,82,40.5,9.1,18.1,8.8,17.2,0.2,0.9,4.6,6.1,3.0,10.5,13.4,6.0,1.4,1.6,2.8,2.4,23.0,0.502,0.513,0.282,0.508,0.7509999999999999,0.5529999999999999
13,13,James Harden,2016-17,HOU,NBA,27,9.0,81,81,36.4,8.3,18.9,5.1,9.6,3.2,9.3,9.2,10.9,1.2,7.0,8.1,11.2,1.5,0.5,5.7,2.7,29.1,0.44,0.53,0.34700000000000003,0.525,0.847,0.613
14,14,LeBron James,2017-18,CLE,NBA,33,8.9,82,82,36.9,10.5,19.3,8.6,14.3,1.8,5.0,4.7,6.5,1.2,7.5,8.6,9.1,1.4,0.9,4.2,1.7,27.5,0.542,0.603,0.36700000000000005,0.59,0.731,0.621
